id_policy,pol_bonus,pol_coverage,pol_duration,pol_sit_duration,pol_pay_freq,pol_payd,pol_usage,pol_insee_code,drv_drv2,drv_age1,drv_age2,drv_sex1,drv_sex2,drv_age_lic1,drv_age_lic2,vh_age,vh_cyl,vh_din,vh_fuel,vh_make,vh_model,vh_sale_begin,vh_sale_end,vh_speed,vh_type,vh_value,vh_weight,town_mean_altitude,town_surface_area,population,commune_code,canton_code,city_district_code,regional_department_code,claim_amount,made_claim
A00046890-V01,0.51,Maxi,13,6,Yearly,No,WorkPrivate,31555,Yes,41,45,F,M,22,25,13,1398,68,Diesel,FORD,FIESTA,13,7,164,Tourism,15800,1070,148,11809,440.2,555,99,3,31,0,0
A00061679-V01,0.5,Maxi,11,5,Yearly,No,WorkPrivate,60406,Yes,46,59,F,M,26,40,13,1398,68,Diesel,CITROEN,C3,13,5,158,Tourism,18150,1058,35,658,0.8,406,20,2,60,0,0
A00002737-V01,0.5,Maxi,8,8,Yearly,No,WorkPrivate,93029,No,50,0,M,,21,0,8,1910,120,Diesel,OPEL,ZAFIRA,10,10,185,Tourism,24900,1538,46,778,66.7,29,95,1,93,0,0
A00056770-V01,0.5,Maxi,12,5,Monthly,No,WorkPrivate,57669,Yes,34,36,F,M,14,17,5,1390,86,Gasoline,SEAT,IBIZA,7,5,175,Tourism,15390,1025,303,819,2.4,669,47,3,57,0,0
A00045010-V01,0.5,Maxi,8,8,Monthly,No,WorkPrivate,1143,No,58,0,F,,39,0,12,1149,75,Gasoline,RENAULT,TWINGO,15,9,170,Tourism,10500,845,810,3374,7.9,143,14,3,1,0,0
A00054291-V06,0.5,Mini,7,7,Biannual,No,WorkPrivate,72333,No,64,0,M,,46,0,32,602,33,Gasoline,CITROEN,LN,39,36,120,Tourism,3156,706,159,1524,0.5,333,33,2,72,0,0
A00028519-V01,0.68,Median2,29,5,Monthly,Yes,WorkPrivate,59564,Yes,63,45,F,F,33,26,12,1108,55,Gasoline,FIAT,PANDA,12,12,150,Tourism,9100,840,52,385,3.3,564,67,6,59,0,0
A00003921-V01,0.54,Maxi,8,5,Monthly,No,WorkPrivate,33249,No,33,0,F,,12,0,5,1149,75,Gasoline,RENAULT,TWINGO,7,5,169,Tourism,10150,955,39,779,20,249,60,2,33,0,0
A00041515-V01,0.5,Median2,8,5,Yearly,Yes,WorkPrivate,35238,No,46,0,M,,26,0,15,1905,70,Diesel,PEUGEOT,306,17,16,160,Tourism,14376,1080,38,5035,206.6,238,98,3,35,0,0
A00000020-V01,0.5,Median2,27,19,Monthly,No,WorkPrivate,60103,No,60,0,F,,36,0,26,1905,71,Diesel,PEUGEOT,405,27,23,165,Tourism,15535,1080,68,2120,4.2,103,27,1,60,0,0
A00006712-V01,0.5,Median2,6,6,Monthly,No,WorkPrivate,49007,Yes,58,60,M,F,40,40,20,2496,71,Diesel,FORD,TRANSIT,21,16,117,Commercial,19599,0,32,4433,147.3,7,98,1,49,0,0
A00010118-V01,0.5,Maxi,24,5,Yearly,No,Professional,30011,No,67,0,F,,48,0,5,1598,123,Gasoline,MINI,CLUBMAN,5,1,201,Tourism,21650,1145,68,1693,8.3,11,40,2,30,0,0
A00075038-V01,0.5,Median1,6,6,Biannual,No,WorkPrivate,13001,No,42,0,F,,23,0,16,1360,75,Gasoline,PEUGEOT,206,17,12,170,Tourism,11950,950,236,18759,141.9,1,97,1,13,0,0
A00041522-V01,0.5,Maxi,5,5,Monthly,No,WorkPrivate,62319,No,47,0,M,,27,0,8,2461,174,Diesel,VOLKSWAGEN,TOUAREG,8,7,183,Tourism,54700,2349,50,354,0.2,319,46,1,62,0,0
A00056084-V01,0.5,Maxi,24,6,Biannual,No,Retired,84051,Yes,74,75,M,F,39,49,6,1560,109,Diesel,PEUGEOT,5008,6,5,185,Tourism,25100,1502,198,2389,1.2,51,12,1,84,0,0
A00025314-V01,0.5,Maxi,9,7,Yearly,No,WorkPrivate,62774,No,62,0,F,,38,0,7,1398,68,Diesel,PEUGEOT,206,14,10,168,Tourism,14500,1049,28,1432,4.7,774,15,6,62,0,0
A00024831-V01,0.5,Maxi,20,7,Yearly,No,Retired,59308,Yes,66,65,M,F,48,43,12,1527,58,Diesel,CITROEN,SAXO,17,15,158,Tourism,10901,890,38,1271,0.9,308,29,4,59,0,0
A00080387-V01,0.5,Mini,15,7,Biannual,No,WorkPrivate,22054,No,77,0,M,,54,0,21,1905,93,Diesel,CITROEN,XANTIA,22,18,180,Tourism,21328,1252,53,2656,3.8,54,32,4,22,0,0
A00064564-V02,0.57,Maxi,5,5,Yearly,No,WorkPrivate,10419,No,29,0,M,,10,0,11,1896,101,Diesel,VOLKSWAGEN,GOLF,15,11,188,Tourism,19800,1260,149,1227,0.7,419,4,3,10,0,0
A00083945-V02,0.5,Median2,9,5,Biannual,No,Retired,66225,Yes,77,28,M,F,58,10,15,1149,59,Gasoline,RENAULT,TWINGO,17,15,151,Tourism,8522,823,270,1176,1.4,225,1,1,66,0,0
A00023882-V02,0.5,Maxi,31,6,Biannual,No,WorkPrivate,63124,No,72,0,F,,43,0,7,1493,111,Diesel,HYUNDAI,MATRIX,9,9,170,Tourism,18540,1348,375,1886,19.5,124,58,2,63,0,0
A00000394-V01,0.5,Median1,22,8,Monthly,No,WorkPrivate,13117,Yes,57,31,M,F,38,9,27,1905,66,Diesel,PEUGEOT,309,29,23,160,Tourism,12311,950,111,3675,36.1,117,53,4,13,0,0
A00042553-V01,0.57,Maxi,15,5,Yearly,No,WorkPrivate,38059,Yes,51,52,F,M,26,34,5,1461,64,Diesel,RENAULT,CLIO,5,5,165,Tourism,11899,1015,456,986,2.4,59,44,1,38,0,0
A00019106-V01,0.5,Maxi,14,6,Monthly,No,Retired,34032,No,72,0,M,,50,0,10,1560,109,Diesel,CITROEN,C4,11,7,192,Tourism,25000,1280,45,9567,71,32,98,1,34,0,0
A00078935-V01,0.5,Mini,7,7,Biannual,No,WorkPrivate,39300,No,60,0,M,,41,0,29,1721,81,Gasoline,RENAULT,R9,31,29,170,Tourism,10916,950,287,762,17.9,300,97,2,39,0,0
A00041357-V01,0.5,Maxi,9,7,Quarterly,No,Retired,77243,No,70,0,M,,50,0,15,2446,86,Diesel,CITROEN,JUMPER,17,13,132,Commercial,19874,0,71,579,20.2,243,14,5,77,0,0
A00033729-V01,0.5,Maxi,30,10,Yearly,No,Retired,63099,No,78,0,F,,48,0,14,1598,108,Gasoline,RENAULT,MEGANE,16,15,195,Tourism,15992,1085,458,905,3.1,99,34,4,63,0,0
A00006372-V01,0.5,Median2,18,5,Monthly,Yes,WorkPrivate,69388,No,55,0,F,,35,0,16,1149,59,Gasoline,RENAULT,CLIO,17,15,160,Tourism,10962,890,175,682,76.3,388,99,1,69,0,0
A00021531-V01,0.5,Median2,6,6,Yearly,No,Professional,86158,No,51,0,M,,33,0,15,1716,58,Diesel,VOLKSWAGEN,CADDY,19,14,140,Commercial,12125,1105,107,2896,6.1,158,21,3,86,0,0
A00029600-V01,0.5,Maxi,8,8,Monthly,No,Retired,76270,Yes,69,74,M,F,48,50,8,1086,67,Gasoline,HYUNDAI,GETZ,10,8,150,Tourism,11110,1011,64,639,2.7,270,37,2,76,0,0
A00001960-V02,0.8,Median1,7,5,Quarterly,No,WorkPrivate,40333,No,38,0,M,,20,0,16,1905,70,Diesel,PEUGEOT,306,17,16,160,Tourism,14376,1080,79,5827,1.2,333,13,2,40,0,0
A00024204-V01,0.5,Maxi,12,6,Yearly,No,WorkPrivate,75115,Yes,50,52,F,M,31,34,12,1598,164,Gasoline,MINI,MINI,14,11,218,Tourism,21500,1140,40,846,236.5,115,29,1,75,0,0
A00089310-V01,0.5,Maxi,29,5,Yearly,No,Retired,69217,Yes,67,72,M,F,49,48,7,1560,109,Diesel,CITROEN,C4 PICASSO,8,7,180,Tourism,28850,1499,584,1752,0.7,217,1,2,69,0,0
A00008696-V01,0.78,Maxi,8,8,Biannual,No,Retired,6004,No,75,0,F,,47,0,8,796,51,Gasoline,CHEVROLET,MATIZ,10,10,144,Tourism,8350,776,44,2699,75.6,4,97,1,6,0,0
A00024768-V01,0.54,Maxi,6,6,Monthly,No,WorkPrivate,75119,No,42,0,F,,21,0,6,2149,170,Diesel,MERCEDES BENZ,C220,8,6,229,Tourism,34250,1510,63,674,184.8,119,33,1,75,1065.19,1
A00082449-V01,0.5,Maxi,13,8,Yearly,No,WorkPrivate,14174,No,51,0,F,,31,0,17,1149,59,Gasoline,RENAULT,CLIO,17,17,160,Tourism,10199,890,117,1246,5.5,174,12,4,14,0,0
A00064246-V01,0.5,Median2,17,6,Monthly,No,WorkPrivate,35179,No,65,0,M,,42,0,33,3005,81,Diesel,MERCEDES BENZ,300,40,36,148,Tourism,13480,1445,28,3163,3.6,179,8,4,35,0,0
A00010082-V02,0.5,Maxi,21,6,Yearly,No,Retired,85254,Yes,66,65,M,F,44,47,7,1461,68,Diesel,RENAULT,CLIO,10,9,162,Tourism,13400,1155,178,2645,1.8,254,21,1,85,0,0
A00062740-V01,0.5,Median2,7,7,Biannual,No,Professional,58194,No,55,0,F,,35,0,30,1360,60,Gasoline,PEUGEOT,205,32,28,155,Tourism,9651,801,190,1735,37.5,194,99,3,58,0,0
A00014629-V01,0.5,Median2,7,6,Monthly,No,Professional,71118,No,44,0,M,,26,0,10,2982,164,Diesel,TOYOTA,LAND CRUISER,12,9,165,Tourism,37850,2010,194,1246,6,118,57,2,71,0,0
A00016653-V01,0.5,Maxi,9,6,Monthly,No,WorkPrivate,55010,Yes,55,49,M,F,35,13,11,1461,101,Diesel,RENAULT,SCENIC,12,10,172,Tourism,21450,1465,201,2139,2.8,10,1,1,55,0,0
A00036759-V01,0.5,Median2,14,7,Monthly,No,WorkPrivate,30060,No,51,0,F,,32,0,16,1799,116,Gasoline,OPEL,VECTRA,18,17,203,Tourism,17685,1267,49,853,3.7,60,45,2,30,0,0
A00020016-V01,0.5,Maxi,14,7,Monthly,No,WorkPrivate,76571,Yes,49,36,F,M,31,18,27,1595,55,Diesel,RENAULT,EXPRESS,30,21,132,Commercial,11247,1385,169,1384,0.7,571,8,3,76,0,0
A00032534-V01,0.5,Median2,33,24,Monthly,No,WorkPrivate,38151,No,84,0,M,,54,0,33,1071,55,Gasoline,MAZDA,323,35,30,140,Tourism,6998,830,238,781,35.7,151,95,1,38,0,0
A00088957-V01,0.5,Median2,17,5,Biannual,No,WorkPrivate,85061,Yes,52,49,M,F,34,28,14,1998,109,Diesel,PEUGEOT,406,17,12,191,Tourism,22700,1415,51,3518,1.5,61,13,2,85,0,0
A00035088-V01,0.5,Mini,13,5,Yearly,No,WorkPrivate,35238,Yes,62,32,M,M,42,11,19,2874,123,Diesel,MERCEDES BENZ,SPRINTER,20,15,141,Commercial,23497,0,38,5035,206.6,238,98,3,35,0,0
A00023750-V01,0.5,Maxi,30,7,Monthly,No,Retired,56255,No,66,0,M,,45,0,15,1868,70,Diesel,PEUGEOT,206,17,12,161,Tourism,12750,1010,98,1843,2,255,6,3,56,0,0
A00086541-V01,0.5,Maxi,15,5,Yearly,No,Retired,17051,Yes,72,41,M,F,53,23,10,1229,81,Gasoline,OPEL,CORSA,11,10,175,Tourism,13090,960,9,1221,2.4,51,30,3,17,0,0
A00050234-V01,0.5,Median2,9,5,Monthly,No,WorkPrivate,17411,No,61,0,F,,37,0,22,1237,55,Gasoline,RENAULT,TWINGO,22,20,150,Tourism,8614,790,7,1770,1.5,411,6,2,17,0,0
A00045345-V01,0.5,Maxi,24,6,Yearly,No,WorkPrivate,14670,Yes,47,46,M,F,28,25,9,2184,136,Diesel,NISSAN,X-TRAIL,10,9,180,Tourism,27400,1541,53,719,0.4,670,13,2,14,0,0
A00081123-V01,0.5,Maxi,9,5,Monthly,No,WorkPrivate,57696,Yes,56,55,M,F,37,36,9,2488,134,Diesel,NISSAN,PICK UP,13,9,160,Commercial,27747,2860,270,420,1,696,3,1,57,0,0
A00003676-V01,0.51,Maxi,5,5,Monthly,No,WorkPrivate,16298,No,35,0,M,,8,0,15,1896,116,Diesel,AUDI,A4,16,15,200,Tourism,26191,1285,97,1112,0.4,298,16,1,16,0,0
A00078668-V01,0.5,Mini,12,6,Monthly,No,WorkPrivate,57537,No,52,0,F,,27,0,18,2068,64,Diesel,RENAULT,TRAFIC,21,17,118,Commercial,16566,0,251,508,6.6,537,51,3,57,0,0
A00033612-V01,0.5,Maxi,19,6,Monthly,No,Retired,37122,No,79,0,M,,54,0,6,1560,90,Diesel,PEUGEOT,207,9,6,182,Tourism,18750,1205,84,3238,36,122,98,2,37,0,0
A00019695-V01,0.5,Maxi,5,5,Biannual,No,Retired,43020,No,71,0,M,,51,0,14,3200,165,Diesel,MITSUBISHI,PAJERO,15,14,170,Tourism,33509,1975,595,4690,4,20,3,3,43,0,0
A00085651-V03,0.5,Median2,13,7,Yearly,No,WorkPrivate,93074,No,44,0,M,,25,0,18,1870,66,Diesel,ARO,10,24,21,120,Tourism,11990,1375,87,368,6.3,74,15,2,93,0,0
A00070615-V02,0.5,Median1,5,5,Biannual,No,Retired,79079,No,66,0,M,,48,0,15,1868,70,Diesel,PEUGEOT,EXPERT,17,9,138,Commercial,18718,0,165,12239,8.1,79,9,1,79,0,0
A00075277-V01,0.5,Median2,17,8,Biannual,No,WorkPrivate,75120,No,57,0,M,,36,0,20,1171,60,Gasoline,RENAULT,CLIO,24,20,155,Tourism,9955,820,80,596,197.1,120,34,1,75,0,0
A00067256-V01,0.5,Maxi,33,12,Yearly,No,Retired,38332,No,81,0,F,,54,0,20,1237,55,Gasoline,RENAULT,TWINGO,21,18,150,Tourism,9529,790,346,510,3.8,332,23,1,38,0,0
A00022745-V01,0.5,Maxi,16,5,Monthly,No,WorkPrivate,28426,No,38,0,M,,20,0,13,1997,90,Diesel,PEUGEOT,206,16,10,180,Tourism,16200,1010,139,2088,0.5,426,24,1,28,0,0
A00027234-V01,0.51,Maxi,9,5,Yearly,No,WorkPrivate,93051,No,50,0,M,,32,0,12,1794,143,Gasoline,TOYOTA,CELICA,16,9,205,Tourism,25200,1185,87,1304,63.4,51,19,2,93,0,0
A00024308-V01,0.5,Maxi,10,6,Monthly,No,WorkPrivate,51108,Yes,43,42,M,F,20,23,10,1870,120,Diesel,RENAULT,MEGANE,13,10,196,Tourism,22800,1270,99,2602,46.2,108,96,1,51,0,0
A00046049-V02,0.5,Maxi,9,5,Yearly,Yes,WorkPrivate,83144,No,55,0,M,,36,0,13,1975,139,Gasoline,HYUNDAI,COUPE,17,14,200,Tourism,19194,1260,207,1540,21.1,144,41,2,83,0,0
A00022168-V01,0.5,Median2,28,7,Biannual,No,WorkPrivate,37212,No,50,0,M,,32,0,24,2068,67,Diesel,RENAULT,R21,29,26,164,Tourism,13507,1075,116,1561,0.7,212,20,1,37,0,0
A00081682-V01,0.5,Median2,22,7,Yearly,No,WorkPrivate,31177,Yes,72,75,M,F,44,54,7,1560,90,Diesel,PEUGEOT,207,8,5,182,Tourism,19250,1264,597,224,0.1,177,28,2,31,0,0
A00035063-V01,0.51,Maxi,11,10,Monthly,No,WorkPrivate,57660,No,59,0,F,,23,0,10,1390,75,Gasoline,DACIA,LOGAN,10,7,162,Tourism,7600,1090,230,357,12.3,660,51,3,57,0,0
A00039294-V01,0.55,Maxi,30,5,Yearly,No,Retired,34032,Yes,84,79,M,F,65,60,5,1560,90,Diesel,CITROEN,C4,6,5,180,Tourism,22350,1257,45,9567,71,32,98,1,34,6000.74,1
A00059716-V01,0.5,Maxi,25,5,Monthly,No,WorkPrivate,54397,No,46,0,M,,25,0,13,1997,109,Diesel,PEUGEOT,307,13,11,183,Tourism,22250,1260,241,450,7.2,397,33,3,54,0,0
A00055740-V02,0.5,Median1,22,5,Biannual,No,WorkPrivate,94033,No,66,0,M,,47,0,21,1896,90,Diesel,VOLKSWAGEN,GOLF,22,18,180,Tourism,20048,1145,77,557,53.3,33,91,2,94,0,0
A00076022-V01,0.68,Median2,7,7,Biannual,No,WorkPrivate,93029,No,36,0,M,,17,0,7,3597,299,Gasoline,VOLKSWAGEN,PASSAT,7,6,250,Tourism,46700,1632,46,778,66.7,29,95,1,93,0,0
A00000077-V01,0.5,Maxi,30,6,Yearly,No,Retired,28419,Yes,90,90,F,F,45,49,16,1527,58,Diesel,PEUGEOT,106,17,14,158,Tourism,10748,895,147,1094,0.3,419,4,2,28,0,0
A00013178-V01,0.5,Maxi,21,5,Yearly,Yes,Retired,67482,No,70,0,M,,49,0,23,1108,48,Gasoline,RENAULT,SUPERCINQ,31,20,143,Tourism,7890,715,139,7809,271.7,482,99,8,67,0,0
A00065541-V01,0.5,Maxi,29,5,Monthly,Yes,WorkPrivate,71064,No,59,0,M,,41,0,10,1461,71,Diesel,RENAULT,KANGOO,12,10,146,Commercial,15010,1675,194,2248,0.9,64,23,4,71,0,0
A00078578-V01,0.5,Median2,13,5,Biannual,No,WorkPrivate,72095,No,39,0,F,,20,0,16,1124,60,Gasoline,CITROEN,SAXO,19,15,162,Tourism,8919,805,79,392,7.4,95,38,3,72,0,0
A00013610-V01,0.5,Maxi,16,7,Monthly,No,WorkPrivate,44215,Yes,43,41,M,F,25,23,15,1761,112,Gasoline,PEUGEOT,306,16,15,192,Tourism,16053,1200,28,3818,21.3,215,46,2,44,0,0
A00072806-V01,0.55,Maxi,8,7,Monthly,No,WorkPrivate,91659,No,41,0,F,,18,0,12,1461,82,Diesel,RENAULT,CLIO,14,12,175,Tourism,14450,980,67,468,4.9,659,6,2,91,0,0
A00023744-V01,0.7,Maxi,25,6,Biannual,No,Retired,38486,Yes,68,40,F,F,48,21,6,2231,136,Diesel,TOYOTA,RAV4,9,6,180,Tourism,30650,1585,524,798,6.9,486,56,1,38,0,0
A00044734-V01,0.5,Maxi,13,7,Biannual,No,Retired,89387,Yes,78,40,M,M,57,21,7,1997,136,Diesel,PEUGEOT,308,7,6,201,Tourism,26450,1575,83,2184,25.9,387,99,3,89,0,0
A00052928-V01,0.5,Mini,10,10,Yearly,No,WorkPrivate,6088,No,63,0,M,,35,0,14,1896,116,Diesel,VOLKSWAGEN,SHARAN,15,10,181,Tourism,30200,1711,115,7391,340.7,88,99,2,6,0,0
A00054647-V01,0.5,Maxi,17,6,Monthly,No,WorkPrivate,42087,Yes,47,53,F,M,29,35,19,2188,113,Diesel,RENAULT,LAGUNA,20,18,195,Tourism,20444,1405,540,641,1.1,87,9,1,42,0,0
A00046778-V01,0.5,Median2,13,5,Monthly,No,WorkPrivate,29191,Yes,39,44,F,M,20,14,17,1905,68,Diesel,CITROEN,XSARA,17,15,162,Tourism,15398,1106,168,6985,3.3,191,30,3,29,0,0
A00061638-V01,0.57,Median2,10,7,Monthly,No,WorkPrivate,70550,No,66,0,F,,40,0,16,1761,90,Gasoline,CITROEN,BERLINGO,18,15,161,Tourism,14087,1170,234,908,15.9,550,96,2,70,0,0
A00003428-V01,0.5,Median2,5,5,Yearly,No,WorkPrivate,17299,Yes,56,43,M,F,38,23,14,1997,111,Diesel,PEUGEOT,806,14,14,175,Tourism,27441,1595,5,2203,25.3,299,97,2,17,0,0
A00047430-V01,0.51,Mini,6,6,Monthly,No,WorkPrivate,47209,Yes,33,38,M,F,14,6,23,954,45,Gasoline,PEUGEOT,205,28,22,143,Tourism,8484,760,121,1936,4.3,209,2,1,47,0,0
A00002985-V01,0.5,Median2,33,8,Biannual,No,WorkPrivate,42203,Yes,48,59,F,M,29,37,15,1598,108,Gasoline,RENAULT,LAGUNA,17,15,195,Tourism,16770,1230,624,3285,0.3,203,12,2,42,0,0
A00011373-V01,0.5,Median2,16,6,Yearly,No,WorkPrivate,93049,No,46,0,M,,21,0,16,1242,75,Gasoline,FORD,FIESTA,17,15,170,Tourism,10428,940,65,341,20.3,49,18,2,93,0,0
A00046395-V01,0.5,Maxi,11,9,Yearly,No,WorkPrivate,84147,No,49,0,F,,26,0,10,1461,66,Diesel,RENAULT,CLIO,14,12,163,Tourism,13050,960,203,1805,3.2,147,8,1,84,0,0
A00058891-V01,0.5,Maxi,22,6,Biannual,No,Retired,79072,No,80,0,M,,56,0,11,1364,75,Diesel,TOYOTA,YARIS,12,10,170,Tourism,14650,950,142,1709,0.2,72,27,1,79,0,0
A00066908-V01,0.5,Maxi,11,6,Monthly,No,Retired,64373,Yes,76,86,F,M,57,63,13,3222,204,Diesel,MERCEDES BENZ,E320,13,10,243,Tourism,46450,1735,217,397,2,373,48,3,64,0,0
A00023240-V01,0.5,Maxi,10,6,Yearly,No,WorkPrivate,75115,Yes,44,45,M,F,25,20,7,2967,240,Diesel,VOLKSWAGEN,TOUAREG,8,7,204,Tourism,53900,2321,40,846,236.5,115,29,1,75,0,0
A00033198-V01,0.5,Mini,5,5,Monthly,No,WorkPrivate,26235,Yes,53,50,M,F,35,30,19,2068,94,Diesel,RENAULT,ESPACE,20,18,167,Tourism,30460,1380,53,4944,13.1,235,19,2,26,0,0
A00065032-V01,0.5,Maxi,25,14,Biannual,No,WorkPrivate,75118,No,57,0,F,,36,0,14,1242,60,Gasoline,FIAT,PUNTO,15,15,155,Tourism,10504,875,57,604,200.6,118,32,1,75,0,0
A00034564-V01,0.5,Maxi,36,10,Yearly,No,Retired,1138,Yes,79,77,M,F,61,56,10,1997,140,Gasoline,CITROEN,C5,11,7,211,Tourism,24850,1394,516,1911,2.9,138,31,1,1,0,0
A00071912-V01,0.5,Mini,24,9,Yearly,No,WorkPrivate,94046,No,58,0,M,,40,0,27,1796,90,Gasoline,PEUGEOT,505,30,23,164,Tourism,14788,1200,37,536,52.6,46,96,1,94,0,0
A00071996-V01,0.5,Median2,10,7,Biannual,No,WorkPrivate,3185,Yes,46,52,F,M,27,34,15,1390,96,Gasoline,RENAULT,CLIO,16,14,186,Tourism,13568,980,235,2071,39,185,98,1,3,0,0
A00090878-V01,0.5,Maxi,6,6,Yearly,No,WorkPrivate,75116,No,42,0,M,,21,0,6,1968,140,Diesel,VOLKSWAGEN,TOURAN,11,8,197,Tourism,26040,1558,43,1641,169.4,116,30,1,75,0,0
A00061036-V01,0.5,Maxi,27,5,Biannual,No,Retired,33934,No,80,0,F,,48,0,9,1461,86,Diesel,RENAULT,CLIO,10,8,174,Tourism,17450,1175,,,,,,,,0,0
A00011165-V01,0.5,Maxi,16,6,Biannual,No,Retired,49377,Yes,69,69,M,F,49,44,6,1598,105,Diesel,VOLKSWAGEN,GOLF PLUS,6,5,186,Tourism,23140,1375,26,2867,2.9,377,1,1,49,0,0
A00057179-V01,0.5,Maxi,21,6,Monthly,No,WorkPrivate,8139,Yes,47,46,M,F,28,28,12,1753,101,Diesel,FORD,FOCUS,13,11,186,Tourism,19300,1221,281,782,1.1,139,16,1,8,0,0
A00088536-V01,0.68,Maxi,9,6,Quarterly,No,Retired,24451,No,83,0,F,,46,0,9,1248,70,Diesel,OPEL,AGILA,12,11,153,Tourism,13230,1055,196,1636,0.8,451,26,2,24,0,0
A00020806-V02,0.5,Maxi,12,12,Biannual,No,Retired,84043,No,72,0,M,,54,0,25,2820,78,Diesel,EBRO,TRADE,27,20,122,Commercial,18813,0,31,1673,7.7,43,10,3,84,0,0
A00010314-V01,0.76,Median2,8,7,Monthly,No,WorkPrivate,44109,No,32,0,F,,11,0,14,1686,75,Diesel,OPEL,ASTRA,16,14,170,Tourism,15695,1189,18,6577,282,109,99,2,44,0,0
A00054218-V01,0.55,Maxi,15,5,Biannual,No,WorkPrivate,89023,Yes,50,54,M,F,31,15,10,1124,60,Gasoline,CITROEN,C3,13,10,156,Tourism,12100,1053,139,509,1.1,23,3,1,89,0,0
A00059520-V01,0.5,Median2,21,5,Biannual,No,WorkPrivate,79326,No,54,0,M,,34,0,18,2446,86,Diesel,CITROEN,JUMPER,21,17,132,Tourism,22334,1855,147,4833,1.5,326,30,3,79,0,0
A00058302-V01,0.51,Maxi,5,5,Monthly,No,WorkPrivate,69387,No,35,0,M,,17,0,14,1870,102,Diesel,RENAULT,SCENIC,14,14,174,Tourism,22411,1290,166,946,69.2,387,99,1,69,177.77,1
A00030229-V01,0.5,Median1,20,5,Yearly,No,Retired,28085,No,71,0,F,,51,0,41,1192,34,Gasoline,VOLKSWAGEN,COCCINELLE,62,32,110,Tourism,3251,760,146,1690,39.1,85,99,1,28,0,0
